# Cinquegrana, Heger & Karakas 2025
M      10.5   10.8   11.0   11.3   11.5   11.8   12.0   12.3   12.5   12.8   13.0   13.3   13.5   13.8   14.0   14.3   14.5   14.8   15.0   15.3   15.5   15.8   16.0   16.3   16.5   16.8   17.0   17.3   17.5   17.8   18.0   18.3   18.5   18.8   19.0   19.3   19.5   19.8   20.0
E      1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0
Mrem   1.578   1.603   1.552   1.636   1.603   1.576   1.579   1.634   12.448   12.695   1.443   1.470   1.492   1.533   1.561   1.576   14.424   14.672   1.503   15.165   1.559   15.659   1.564   1.768   1.676   1.636   1.597   17.137   17.382   17.627   17.873   18.112   18.359   18.607   18.843   19.090   19.331   19.584   19.830
H1    6.438765e+00   6.572181e+00   6.663925e+00   6.833625e+00   6.923018e+00   7.118331e+00   7.260212e+00   7.412769e+00   3.894614e-02   4.140323e-02   7.501145e+00   7.632902e+00   7.759278e+00   7.887428e+00   8.012811e+00   8.118236e+00   5.710400e-02   5.883170e-02   8.251237e+00   6.377752e-02   8.472439e+00   6.858981e-02   8.627295e+00   8.960834e+00   8.928635e+00   8.927188e+00   8.951736e+00   8.491810e-02   8.891668e-02   9.247638e-02   9.519140e-02   1.041529e-01   1.058883e-01   1.078086e-01   1.183796e-01   1.205937e-01   1.268291e-01   1.250769e-01   1.277467e-01
H2    3.799768e-08   3.947683e-08   4.205797e-08   4.293410e-08   4.480962e-08   4.647416e-08   4.789862e-08   5.123146e-08   3.371120e-08   3.467063e-08   5.281025e-08   5.515897e-08   5.758891e-08   5.506110e-08   5.655108e-08   5.773204e-08   4.179574e-08   4.281031e-08   5.987199e-08   4.492791e-08   6.319855e-08   4.700444e-08   6.452143e-08   6.793168e-08   7.027417e-08   7.008997e-08   7.002662e-08   5.356783e-08   5.464110e-08   5.566692e-08   5.676861e-08   5.794341e-08   5.909309e-08   6.024833e-08   6.139349e-08   6.260524e-08   6.383560e-08   6.500740e-08   6.622004e-08
He3   3.272643e-04   3.303574e-04   3.310030e-04   3.359018e-04   3.373358e-04   3.435806e-04   3.475666e-04   3.518357e-04   3.923393e-06   4.174809e-06   3.474452e-04   3.511252e-04   3.541021e-04   3.577754e-04   3.610301e-04   3.635663e-04   5.828342e-06   6.014736e-06   3.633463e-04   6.545217e-06   3.692333e-04   7.057143e-06   3.722434e-04   3.846942e-04   3.821660e-04   3.802952e-04   3.798152e-04   8.793353e-06   9.210638e-06   9.590321e-06   9.881344e-06   1.080370e-05   1.099382e-05   1.119891e-05   1.230087e-05   1.253791e-05   1.317904e-05   1.300813e-05   1.328630e-05
He4   2.438067e+00   2.520513e+00   2.654524e+00   2.709743e+00   2.813491e+00   2.937171e+00   3.039588e+00   3.104712e+00   1.282048e-02   1.362995e-02   3.781687e+00   3.867587e+00   3.959559e+00   4.043728e+00   4.127014e+00   4.239113e+00   1.879185e-02   1.935979e-02   4.679904e+00   2.098429e-02   4.857700e+00   2.256575e-02   5.087260e+00   5.053644e+00   5.244234e+00   5.384830e+00   5.506440e+00   2.793090e-02   2.924620e-02   3.041546e-02   3.130707e-02   3.425722e-02   3.482610e-02   3.545658e-02   3.893420e-02   3.966134e-02   4.171399e-02   4.113521e-02   4.201312e-02
Li6   7.752759e-13   8.022405e-13   8.726749e-13   8.961768e-13   9.767688e-13   1.042670e-12   1.073933e-12   9.428103e-13   6.319051e-13   6.468229e-13   9.522214e-13   9.407859e-13   9.469130e-13   1.114005e-12   1.154651e-12   1.136154e-12   7.233656e-13   7.351875e-13   9.989396e-13   7.528105e-13   1.065721e-12   7.712778e-13   1.058366e-12   1.325646e-12   1.592259e-12   1.102278e-12   1.273884e-12   8.275885e-13   8.370529e-13   8.455462e-13   8.561805e-13   8.651691e-13   8.722172e-13   8.830610e-13   8.912336e-13   9.005357e-13   9.093374e-13   9.178167e-13   9.269924e-13
Li7   1.882294e-08   2.152796e-08   3.438112e-08   3.068270e-08   4.049884e-08   4.127149e-08   4.504754e-08   4.841797e-08   1.482517e-10   1.571764e-10   8.548191e-08   8.162148e-08   8.470102e-08   8.129029e-08   7.779932e-08   7.733000e-08   2.112879e-10   2.171067e-10   9.670265e-08   2.313703e-10   1.033263e-07   2.443438e-10   1.032107e-07   7.596412e-08   6.700074e-08   1.107145e-07   1.093717e-07   2.795153e-10   2.853607e-10   2.905059e-10   2.952007e-10   3.018760e-10   3.048714e-10   3.087724e-10   3.136847e-10   3.170617e-10   3.204513e-10   3.231454e-10   3.264089e-10
Be9   9.579708e-13   9.894668e-13   1.199715e-12   1.163022e-12   1.311378e-12   1.431614e-12   1.473134e-12   1.279545e-12   1.908057e-13   2.032042e-13   1.300286e-12   1.260270e-12   1.258059e-12   2.030678e-12   2.255054e-12   2.226982e-12   2.862581e-13   2.955822e-13   1.412587e-12   3.222466e-13   1.384864e-12   3.483777e-13   1.700198e-12   2.503832e-12   5.535182e-12   1.416102e-12   1.939937e-12   4.356581e-13   4.558057e-13   4.747975e-13   4.895265e-13   5.301963e-13   5.407129e-13   5.511296e-13   5.977214e-13   6.095904e-13   6.363729e-13   6.326300e-13   6.451822e-13
