# Ivans et al. 2005, ApJ 627, L145 (arXiv:astro-ph/0310291), Table 4
# CEMP-s star CS 29497-030: [Fe/H]=-2.70 (Fe II), [X/Fe] abundance ratios.
# Matched against a Goriely & Mowlavi (2000) Z=0.001, 50-thermal-pulse AGB model
# (their Fig. 9) and a Gallino et al. 1.3 Msun AGB s-process model diluted by a
# factor of 2 into an unprocessed envelope (their Fig. 10). Duplicate ionization
# states (e.g. Fe I / Fe II) averaged; upper limits dropped.
symbol     Z    [X/Fe]
C          6     2.690
O          8     1.670
Na        11     0.520
Mg        12     0.590
Al        13    -0.670
Si        14     0.275
S         16     0.400
Ca        20     0.330
Sc        21     0.300
Ti        22     0.225
Cr        24    -0.110
Mn        25    -0.180
Fe        26    -0.035
Co        27     0.420
Ni        28    -0.210
Sr        38     0.840
Y         39     0.710
Zr        40     1.430
Ba        56     2.170
La        57     2.100
Ce        58     2.140
Nd        60     1.850
Eu        63     1.440
Pb        82     3.550
