# Sneden et al. 2003, ApJ 591, 936 (arXiv:astro-ph/0303542), Table 5
# r-II star CS 22892-052: [Fe/H]=-3.10, [X/Fe] neutron-capture abundance ratios.
# The paper's own model comparison is the scaled solar-system r-process-only
# residual pattern (Arlandini et al. 1999 / Burris et al. 2000), vertically shifted
# to match the observed Eu -- the classic confirmation that Ba-through-actinide
# production here tracks the r-process curve, not the s-process one.
# [X/Fe] recomputed here as [X/H]-[Fe/H] (Fe/H=-3.10) rather than taken from the
# paper's own [X/Fe] column: their published La II [X/Fe]=+3.09 is a typo/OCR
# artifact (their own [X/H]=-2.01 implies [X/Fe]=+1.09, matching neighbouring Ce/Pr).
# Duplicate species (e.g. Pb I / Pb I (HST)) averaged.
symbol     Z    [X/Fe]
Sr        38     0.605
Y         39     0.440
Zr        40     0.775
Nb        41     0.880
Mo        42     0.780
Ru        44     1.340
Rh        45     1.430
Pd        46     1.120
Ag        47     0.980
Ba        56     0.990
La        57     1.090
Ce        58     1.020
Pr        59     1.300
Nd        60     1.330
Sm        62     1.550
Eu        63     1.640
Gd        64     1.460
Tb        65     1.620
Dy        66     1.730
Ho        67     1.660
Er        68     1.700
Tm        69     1.580
Yb        70     1.420
Lu        71     1.650
Hf        72     1.240
Os        76     1.710
Ir        77     1.650
Pt        78     1.600
Au        79     0.850
Pb        82     1.200
Th        90     1.360
